extracted genus,extracted species,extracted/literature/genus,actual species,actual genus,genbank version number,voucher,sequence length
Arisarum,vulgare,extracted,Arisarum,vulgare,HM850481.1,"BM 2008/10",819
Pinellia,cordata,extracted,Pinellia,cordata,KX526520.1,"CPG05431",1206
Pinellia,integrifolia,genus,Pinellia,pedatisecta,JN090081.1,"PS1409MT06",751
Butomus,umbellatus,extracted,Butomus,umbellatus,KF632790.1,"C29",854
Apium,bermejoi,genus,Apium,graveolens,FJ986058.1,"X.L. Deng SC001(SZ)",1193
Bupleurum,barceloi,genus,Bupleurum,americanum,KC474226.1,"Aiken_88-262_CAN",765
Daucus,carota,extracted,Daucus,carota,HQ593265.1,"AP198",849
Eryngium,creticum,genus,Eryngium,giganteum,DQ133789.1,"Andersson 2363 (GB)",1134
Foeniculum,vulgare,extracted,Foeniculum,vulgare,MG946964.1,"Qarshi QHRC-853 market",885
Heracleum,sphondylium,extracted,Heracleum,sphondylium,FJ395398.1,"BM000954765",836
Pastinaca,lucida,genus,Pastinaca,sativa,KJ204515.1,"G00199096",824
Pimpinella,bicknelli,genus,Pimpinella,niitakayamensis,KX526497.1,"CPG09832",1149
Thapsia,gymnesica,genus,Thapsia,villosa,EU531664.1,"Lambinon, J. 94/Ma/350. det. by Paindas. A. (RNG)",839
Torilis,leptophylla,genus,Torilis,arvensis,KJ204545.1,"G00199138",836
Hedera,algeriensis,extracted,Hedera,algeriensis,HQ220475.1,"AFG-CA07-N4a",856
Hedera,azorica,extracted,Hedera,azorica,HQ220472.1,"American Ivy Society #82-259",856
Hedera,canariensis,extracted,Hedera,canariensis,HQ220476.1,"American Ivy Society #94-052",856
Hedera,colchica,extracted,Hedera,colchica,HQ220477.1,"American Ivy Society #94-058",856
Hedera,cypria,extracted,Hedera,cypria,HQ220478.1,"American Ivy Society #03-079",856
Hedera,helix,extracted,Hedera,helix,KX676747.1,"HERB0061",805
Hedera,hibernica,extracted,Hedera,hibernica,HQ220486.1,"AFG-I91-G1",856
Hedera,iberica,extracted,Hedera,iberica,HQ220487.1,"American Ivy Society #04-003",856
Hedera,maderensis,extracted,Hedera,maderensis,HQ220488.1,"American Ivy Society #91-097",856
Hedera,maroccana,extracted,Hedera,maroccana,HQ220490.1,"American Ivy Society #88-008",856
Hedera,nepalensis,extracted,Hedera,nepalensis,MH659320.1,"CH0157",862
Hedera,pastuchovii,extracted,Hedera,pastuchovii,HQ220494.1,"American Ivy Society #82-264",856
Hedera,rhombea,extracted,Hedera,rhombea,HQ220496.1,"American Ivy Society #88-149",856
Allium,antoni-bolosii,genus,Allium,mairei,HQ690341.1,"Wang Z-X WZX2010091102",861
Allium,libani,genus,Allium,przewalskianum,HQ690330.1,"Wei X-Q WXQ2009072702",855
Allium,oleraceum,extracted,Allium,oleraceum,JQ412191.1,"BS0272",783
Allium,scorodoprasum,extracted,Allium,scorodoprasum,MK926218.1,"NMW7118",834
Allium,sphaerocephalon,genus,Allium,condensatum,HQ690342.1,"He X-J & Zhang X-L 97827",855
Hippeastrum,blossfeldiae,genus,Hippeastrum,sp.,EU527844.1,"UFS:Spies 7446",894
